INVENTORY_RID,PROCESS_RID,PERIOD_RID,MATERIAL_CODE,EMISSION_AMT,EMISSION_UNIT_CODE,SOURCE_RID,EMISSION_UNIT_RID,PROCESS_ID,SCC_CODE,SHORT_DESC.x,DATA_CATEGORY_CODE,SHORT_DESC.y,LEVEL_1_DESC,LEVEL_2_DESC,LEVEL_3_DESC,LEVEL_4_DESC,EI_SECTOR,OPTION_GROUP,OPTION_SET,LAST_INVENTORY_YEAR,MAP_TO,CREATED_DATE,REVISED_DATE,COMMENT_TEXT,DEFAULT_EMISSION_UNIT_TYPE,RID,ENTITY_TYPE,ENTITY_ID,ENTITY_NAME,PRIMARY_COORD_SYSTEM,LONGITUDE,LATITUDE,UTM_ZONE,UTM_EASTING,UTM_NORTHING,GEO_STATE_NAME,GEO_STATE_FIPS,GEO_COUNTY_NAME,GEO_COUNTY_FIPS,GEO_CITY_NAME,GEO_ZIP_CODE,GEO_ADDRESS_1
101618660,102128528,101618662,PERC,0,LB,102128433,102128479,DC001PD001,40100101,Emissions from Dry Cleaning Machines,POINT,Evap OrgSolvEvap DryCleang PERC,Chemical Evaporation,Organic Solvent Evaporation,Dry Cleaning,Perchloroethylene,Solvent - Dry Cleaning,NA,NA,NA,NA,NA,2020-10-29 00:00:00,NA,"EVAP,OTHER",102128456,SOURCE,27037DC569,NA,NA,-93.07318125,44.96877561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101618660,102128529,101618662,PERC,267.748,LB,102128434,102128480,DC001PD001,40100101,Emissions from Dry Cleaning Machines,POINT,Evap OrgSolvEvap DryCleang PERC,Chemical Evaporation,Organic Solvent Evaporation,Dry Cleaning,Perchloroethylene,Solvent - Dry Cleaning,NA,NA,NA,NA,NA,2020-10-29 00:00:00,NA,"EVAP,OTHER",102128457,SOURCE,27015DC213,NA,NA,-94.43929291,44.29416656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101618660,102128530,101618662,PERC,0,LB,102128435,102128481,DC001PD001,40100101,Emissions from Dry Cleaning Machines,POINT,Evap OrgSolvEvap DryCleang PERC,Chemical Evaporation,Organic Solvent Evaporation,Dry Cleaning,Perchloroethylene,Solvent - Dry Cleaning,NA,NA,NA,NA,NA,2020-10-29 00:00:00,NA,"EVAP,OTHER",102128458,SOURCE,27053DC969,NA,NA,-93.4286063,44.9208879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101618660,102128531,101618662,PERC,267.748,LB,102128436,102128482,DC001PD001,40100101,Emissions from Dry Cleaning Machines,POINT,Evap OrgSolvEvap DryCleang PERC,Chemical Evaporation,Organic Solvent Evaporation,Dry Cleaning,Perchloroethylene,Solvent - Dry Cleaning,NA,NA,NA,NA,NA,2020-10-29 00:00:00,NA,"EVAP,OTHER",102128459,SOURCE,27009DC731,NA,NA,-94.17481232,45.55397415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101618660,102128532,101618662,PERC,334.685,LB,102128437,102128483,DC001PD001,40100101,Emissions from Dry Cleaning Machines,POINT,Evap OrgSolvEvap DryCleang PERC,Chemical Evaporation,Organic Solvent Evaporation,Dry Cleaning,Perchloroethylene,Solvent - Dry Cleaning,NA,NA,NA,NA,NA,2020-10-29 00:00:00,NA,"EVAP,OTHER",102128460,SOURCE,27123DC138,NA,NA,-93.19841766,45.0455246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101618660,102128533,101618662,PERC,334.685,LB,102128437,102128484,DC002PD001,40100101,Emissions from Dry Cleaning Machines,POINT,Evap OrgSolvEvap DryCleang PERC,Chemical Evaporation,Organic Solvent Evaporation,Dry Cleaning,Perchloroethylene,Solvent - Dry Cleaning,NA,NA,NA,NA,NA,2020-10-29 00:00:00,NA,"EVAP,OTHER",102128460,SOURCE,27123DC138,NA,NA,-93.19841766,45.0455246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101618660,102128534,101618662,PERC,66.937,LB,102128438,102128485,DC001PD001,40100101,Emissions from Dry Cleaning Machines,POINT,Evap OrgSolvEvap DryCleang PERC,Chemical Evaporation,Organic Solvent Evaporation,Dry Cleaning,Perchloroethylene,Solvent - Dry Cleaning,NA,NA,NA,NA,NA,2020-10-29 00:00:00,NA,"EVAP,OTHER",102128461,SOURCE,27059DC763,NA,NA,-93.22728729,45.57252884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101618660,102128535,101618662,PERC,66.937,LB,102128438,102128486,DC002PD001,40100101,Emissions from Dry Cleaning Machines,POINT,Evap OrgSolvEvap DryCleang PERC,Chemical Evaporation,Organic Solvent Evaporation,Dry Cleaning,Perchloroethylene,Solvent - Dry Cleaning,NA,NA,NA,NA,NA,2020-10-29 00:00:00,NA,"EVAP,OTHER",102128461,SOURCE,27059DC763,NA,NA,-93.22728729,45.57252884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101618660,102128536,101618662,PERC,133.874,LB,102128439,102128487,DC001PD001,40100101,Emissions from Dry Cleaning Machines,POINT,Evap OrgSolvEvap DryCleang PERC,Chemical Evaporation,Organic Solvent Evaporation,Dry Cleaning,Perchloroethylene,Solvent - Dry Cleaning,NA,NA,NA,NA,NA,2020-10-29 00:00:00,NA,"EVAP,OTHER",102128462,SOURCE,27053DC965,NA,NA,-93.3611455,44.9412113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101618660,102128537,101618662,PERC,0,LB,102128440,102128488,DC001PD001,40100101,Emissions from Dry Cleaning Machines,POINT,Evap OrgSolvEvap DryCleang PERC,Chemical Evaporation,Organic Solvent Evaporation,Dry Cleaning,Perchloroethylene,Solvent - Dry Cleaning,NA,NA,NA,NA,NA,2020-10-29 00:00:00,NA,"EVAP,OTHER",102128463,SOURCE,27083DC310,NA,NA,-95.79105,44.44542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
