source_id,source_name,long,lat,utm_x,utm_y,bg_geoid,county,release_ht_meters,side_length,sz,sy
27061DC587,Vanity Cleaners Inc.,-93.52791109949813,47.2359639900626,460042.3371,5231521.621,270614809004,Itasca,1.5,13,1.4,3
27009DC731,Bohlig Cleaners,-94.17481232036585,45.553974146929995,408303.5228,5045164.089,271450006022,Stearns,1.5,13,1.4,3
27059DC763,Cambridge Launderers and Cleaners Inc,-93.22728729008885,45.57252883950775,482265.585,5046579.419,270591303013,Isanti,1.5,13,1.4,3
27093DC140,Litchfield Dry Cleaners,-94.52805327957626,45.127906803040155,379834.3244,4998295.102,270935604003,Meeker,1.5,13,1.4,3
27163DC0X2,Shorty Cleaners & Launderer Inc,-92.80850849964217,45.05521759889041,515077.9561,4989102.239,271630705024,Washington,1.5,13,1.4,3
27163DC0X1,Forest Lake Dry Cleaners,-92.99474979963696,45.27938249644829,500411.7802,5013987.03,271630701032,Washington,1.5,13,1.4,3
27003DC114,Osman Cleaners Inc,-93.29556982939096,44.95734779272056,476687.2991,4978254.786,270531066001,Hennepin,1.5,13,1.4,3
27053DC965,Care Cleaners Inc.,-93.36114550001683,44.94121129668004,471507.1174,4976483.186,270531226002,Hennepin,1.5,13,1.4,3
27053DC969,Blake Cleaners Inc,-93.42860630017627,44.920887902950305,466172.8118,4974251.453,270530261031,Hennepin,1.5,13,1.4,3
27053DC099,Wayzata Home Inc,-93.54216623980678,44.978112745892766,457252.7401,4980661.968,270530273002,Hennepin,1.5,13,1.4,3
27053DC729,Wayzata Pennhurst Cleaners,-93.53954760065143,44.97780020378153,457458.9764,4980625.871,270530273002,Hennepin,1.5,13,1.4,3
27037DC282,Midtown Cleaners,-93.15653229022497,44.9914512624384,487661.0267,4982012.661,271230302011,Ramsey,1.5,13,1.4,3
27123DC138,Brighton Cleaners Inc,-93.19841765966358,45.04552460395987,484374.0421,4988026.774,271230411071,Ramsey,1.5,13,1.4,3
27037DC853,E & J Cleaners Inc,-93.12732330036937,44.94627190361934,489955.6022,4976989.802,271230355002,Ramsey,1.5,13,1.4,3
27037DC102,Minnehaha Cleaning Center,-93.13922118977177,44.9643707320711,489020.4423,4979001.879,271230324002,Ramsey,1.5,13,1.4,3
27037DC569,Anderson Cleaners,-93.07318125047647,44.96877560745855,494229.0662,4979484.38,271230315002,Ramsey,1.5,13,1.4,3
27037DC922,Premier Cleaners,-93.15877999978906,44.83066999654936,487448.9021,4964152.524,270370607271,Dakota,1.5,13,1.4,3
27083DC310,Carrows Cleaners,-95.79104999982677,44.44541999800848,277909.0851,4925135.91,270833603004,Lyon,1.5,13,1.4,3
27083DC530,Midwest Cleaners Inc.,-95.79141997979782,44.44907761179186,277893.5162,4925543.2,270833605001,Lyon,1.5,13,1.4,3
27015DC213,B & J Laundromat LLC,-94.43929291035255,44.29416655596058,385177.3182,4905553.371,270159601021,Brown,1.5,13,1.4,3
27035DC643,Crystal Cleaners Inc,-94.21610490039379,46.35751529834279,406442.8308,5134489.7,270359512001,Crow Wing,1.5,13,1.4,3
27137DC165,Dee Independent Cleaners Inc,-92.08508300948277,46.79669188859896,569820.3184,5182977.983,271370017001,Saint Louis,1.5,13,1.4,3
27137DC955,Murrers Dry Cleaners,-92.94160461039594,47.423694612856664,504404.3254,5252251.158,271370123003,Saint Louis,1.5,13,1.4,3
