SOURCE_RID,RID,ENTITY_TYPE,ENTITY_ID,ENTITY_NAME,PRIMARY_COORD_SYSTEM,LONGITUDE,LATITUDE,UTM_ZONE,UTM_EASTING,UTM_NORTHING,GEO_STATE_NAME,GEO_STATE_FIPS,GEO_COUNTY_NAME,GEO_COUNTY_FIPS,GEO_CITY_NAME,GEO_ZIP_CODE,GEO_ADDRESS_1
101132258,101132260,SOURCE,NA,NA,NA,-96.98529053,47.92920303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101132447,101132449,SOURCE,NA,NA,NA,-96.74107361,46.90031433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101130224,101130226,SOURCE,NA,NA,NA,-93.88790707,45.24616999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101141932,101141934,SOURCE,NA,NA,NA,-94.42694855,46.10596085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101152861,101152863,SOURCE,NA,NA,NA,-93.35341718,45.84976219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101190404,101190406,SOURCE,NA,NA,NA,-93.04999247,44.78580019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101212816,101212818,SOURCE,NA,NA,NA,-93.30251908,44.78533876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101213024,101213026,SOURCE,NA,NA,NA,-94.24882507,44.81360245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101198635,101198637,SOURCE,NA,NA,NA,-95.17075179,44.79707609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101197142,101197144,SOURCE,NA,NA,NA,-92.43868331,46.72282933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101212899,101212901,SOURCE,NA,NA,NA,-93.56423935,45.37762197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101216478,101216480,SOURCE,NA,NA,NA,-93.91163635,45.39300919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783650,101783886,SOURCE,27003SW028,NA,NA,-93.31196,45.22704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783648,101783885,SOURCE,27003SW043,NA,NA,-93.33299,45.31673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783644,101783883,SOURCE,27003SW047,NA,NA,-93.22346,45.36542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783642,101783882,SOURCE,27003SW094,NA,NA,-93.43435,45.24087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783652,101783887,SOURCE,27005SW099,NA,NA,-95.89035,46.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783680,101783901,SOURCE,27025SW072,NA,NA,-92.98073,45.34161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783682,101783902,SOURCE,27027SW034,NA,NA,-96.41513,46.83623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783712,101783917,SOURCE,27047SW085,NA,NA,-93.37952,43.68205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783718,101783920,SOURCE,27053SW058,NA,NA,-93.4197,44.91101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
