source_id,source_name,long,lat,utm_x,utm_y,bg_geoid,county,release_ht_meters,side_length,sz,sy
27077SW171,Lake of the Woods,-94.83649,48.66173,364770.1185873306,5391480.501245706,270774604002,Lake of the Woods,2,500,0.9,120.5
27077SW236,NW Angle Modified,-95.08435,49.33971,348589.9063176946,5467310.463530193,270774604001,Lake of the Woods,2,500,0.9,120.5
27069SW115,Karlstad,-96.56038,48.57739,237409.67519561155,5386599.4980171835,270690901002,Kittson,2,500,0.9,120.5
27069SW092,Mar-Kit (Anderson-Kittson),-96.81599,48.78381,219710.03400476422,5410449.504683313,270690901003,Kittson,2,500,0.9,120.5
27135SW137,Salol,-95.53367,48.85192,314140.2874434109,5414090.044102292,271359704001,Roseau,2,500,0.9,120.5
27071SW191,Koochiching,-93.43197,48.56409,468129.8602030448,5379089.64515803,270717902001,Koochiching,2,500,0.9,120.5
27071SW225,Northome Modified,-94.27013,47.85522,404989.98815096065,5300989.607859174,270717905003,Koochiching,2,500,0.9,120.5
27007SW051,Eighty-Acre,-94.90263,47.48943,356679.904716462,5261309.483422336,270074507022,Beltrami,2,500,0.9,120.5
27007SW031,Kummer,-94.89169,47.50635,357549.74675903545,5263169.696474252,270074502002,Beltrami,2,500,0.9,120.5
27031SW294,Cook County,-90.22947,47.82989,707339.6901378892,5301110.236263667,270314801002,Cook,2,500,0.9,120.5
27119SW124,Polk County,-96.38458,47.77831,246459.9462209773,5297209.526239405,271190208001,Polk,2,500,0.9,120.5
27075SW140,Lake County,-91.53519,47.13089,611089.8852310437,5220750.485240283,270753701001,Lake,2,500,0.9,120.5
27061SW135,Grand Rapids Area,-93.61109,47.30887,453810.01261898526,5239669.696398566,270614803002,Itasca,2,500,0.9,120.5
27061SW073,Iron Range,-93.37129,47.33591,471949.87980200327,5242560.502072591,270614810001,Itasca,2,500,0.9,120.5
27087SW122,Mahnomen County,-95.80367,47.29941,288049.7294158129,5242249.817151549,270879403001,Mahnomen,2,500,0.9,120.5
27057SW130,Pickett,-95.02753,46.95537,345729.7104360038,5202199.806733206,270570705002,Hubbard,2,500,0.9,120.5
27057SW146,Leech Lake,-94.68173,47.36889,373029.63956834085,5247529.991806189,270570701001,Hubbard,2,500,0.9,120.5
27027SW034,Clay County,-96.41513,46.83623,239580.2329638323,5192629.49485974,270270302011,Clay,2,500,0.9,120.5
27005SW099,Becker County,-95.89035,46.857,279679.83521057083,5193329.681569051,270054504001,Becker,2,500,0.9,120.5
27159SW114,Anderson,-95.12359,46.64873,337499.88637929637,5168320.224243864,271594801002,Wadena,2,500,0.9,120.5
27159SW007,Wadena,-95.15014,46.47445,334940.3758259797,5149010.459397674,271594803001,Wadena,2,500,0.9,120.5
27017SW253,Carlton County (south),-92.73214,46.45565,520570.10533955274,5144710.211347891,270170705003,Carlton,2,500,0.9,120.5
27017SW102,Carlton County #2,-92.49376,46.66093,538729.961148038,5167610.055486806,270170704005,Carlton,2,500,0.9,120.5
27111SW086,Battle Lake Area,-95.74205,46.27907,288750.19397387374,5128709.519891657,271119616001,Otter Tail,2,500,0.9,120.5
27111SW178,Northeast Ottertail,-95.44450768,46.545137330227114,312586.5837420698,5157521.942188987,271119605004,Otter Tail,2,500,0.9,120.5
27111SW184,Fergus Falls,-96.08854199,46.26403389976392,261992.0970874428,5128021.362211375,271119610001,Otter Tail,2,500,0.9,120.5
27167SW022,Barnesville,-96.36807,46.62865,242180.13050801627,5169410.239045713,271679501001,Wilkin,2,500,0.9,120.5
27115SW019,Korf Bros.,-92.94484,45.88786,504279.7867005311,5081589.570825716,271159507001,Pine,2,500,0.9,120.5
27153SW039,Long Prairie,-94.76562,45.98179,363239.8262218826,5093539.798676907,271537905003,Todd,2,500,0.9,120.5
