entity_id,source_name,long.x,lat.x,long.y,lat.y,long_diff,lat_diff,check_coords,lat_correct,long_correct,notes
27001POTW04,Tamarack WWTP,-93.12638164,46.6477362,-93.1282687,46.645348,0.00188706,0.0023882,done,"46.64818197468432,",-93.12525426,
27005POTW01,Detroit Lakes WWTP,-95.86483229,46.81147286,-95.8641635,46.8151198,-6.69E-04,-0.00364694,done,46.81147286,-95.86483229,
27021POTW03,East Gull Lake WWTP,-94.3490049,46.41327675,-94.35377358,46.41933568,0.00476868,-0.00605893,done,"46.413022407456154,",-94.34858343,
27023POTW01,Montevideo WWTP,-95.72897781,44.93978189,-95.7289978,44.9397599,2.00E-05,2.20E-05,don't check,,,
27025POTW2,Chisago Lakes Joint STC,-92.87411215,45.40773137,-92.8748973,45.4062138,7.85E-04,0.00151757,done,45.40773137,-92.87411215,
27019POTW02,Cologne WWTP,-93.79276069,44.77241421,-93.7927778,44.7724236,1.71E-05,-9.39E-06,don't check,,,
27001POTW03,Palisade WWTP,-93.49615455,46.71111344,-93.4906699,46.709355,-0.00548465,0.00175844,done,"46.71081164472443,",-93.49440536,
27021POTW05,Federal Dam WWTP,-94.20890099,47.24623557,-94.20901068,47.24615566,1.10E-04,7.99E-05,don't check,,,
27025POTW03,Harris WWTP,-92.97237071,45.5812224,-92.9723707,45.5812065,-1.00E-08,1.59E-05,don't check,,,
27013POTW01,Amboy WWTP,-94.14845544,43.88808573,-94.1484626,43.8880803,7.16E-06,5.43E-06,don't check,,,
27019POTW06,Mayer WWTP,-93.91377392,44.88479428,-93.91393956,44.88478539,1.66E-04,8.89E-06,don't check,,,
27013POTW03,Mankato Water Resource Recovery Facility,-94.00036372,44.18259705,-93.9996688,44.1825772,-6.95E-04,1.99E-05,don't check,,,
27021POTW01,Pine River Area Sanitary District,-94.39614333,46.71274999,-94.3961433,46.7127499,-3.00E-08,9.00E-08,don't check,,,
27029POTW01,Gonvick WWTP,-95.50785166,47.7397399,-95.5078516,47.7397399,-6.00E-08,0,don't check,,,
27013POTW06,Lake Crystal WWTP,-94.21509668,44.11535809,-94.2151075,44.1153656,1.08E-05,-7.51E-06,don't check,,,
27019POTW04,Norwood Young America WWTP,-93.91861312,44.76708113,-93.9186175,44.7670768,4.38E-06,4.33E-06,don't check,,,
27031POTW01,Grand Marais WWTP,-90.32879521,47.75191032,-90.3287952,47.7519103,-1.00E-08,2.00E-08,don't check,,,
27013POTW02,Saint Clair WWTP,-93.86258493,44.08557565,-93.8625929,44.0855755,7.97E-06,1.50E-07,don't check,,,
27023POTW05,Clara City WWTP,-95.37068004,44.94530055,-95.3706878,44.9453057,7.76E-06,-5.15E-06,don't check,,,
27025POTW01,North Branch WWTP,-92.97523692,45.52102857,-92.9752369,45.5210285,-2.00E-08,7.00E-08,don't check,,,
27015POTW02,Springfield WWTP,-94.96538712,44.24006214,-94.9654047,44.2400554,1.76E-05,6.74E-06,don't check,,,
27019POTW01,Watertown WWTP,-93.84271021,44.96918074,-93.8422729,44.9702449,-4.37E-04,-0.00106416,done,"44.96957822022518,",-93.84101116,
27013POTW04,Vernon Center WWTP,-94.16437531,43.95966339,-94.16437361,43.95966372,-1.70E-06,-3.30E-07,don't check,,,
27023POTW03,Granite Falls WWTP,-95.54026002,44.80588393,-95.54010859,44.80583311,-1.51E-04,5.08E-05,don't check,,,
27007POTW01,Bemidji WWTP,-94.87603064,47.46427789,-94.87602514,47.46446625,-5.50E-06,-1.88E-04,don't check,,,
27001POTW01,Aitkin WWTP,-93.71269553,46.54052929,-93.7127279,46.5405439,3.24E-05,-1.46E-05,don't check,,,
27015POTW01,Comfrey WWTP,-94.89109782,44.10801616,-94.8911044,44.1080252,6.58E-06,-9.04E-06,don't check,,,
27023POTW06,Maynard WWTP,-95.469252,44.901766,-95.47005255,44.90409433,8.01E-04,-0.00232833,done,44.901766,-95.469252,
27079POTW03,Waterville WWTP,-93.55401843,44.21794209,-93.5540185,44.2179596,7.00E-08,-1.75E-05,don't check,,,
27083POTW01,Marshall WWTP,-95.7888581,44.47208126,-95.7888572,44.4720641,-9.00E-07,1.72E-05,don't check,,,
27093POTW02,Litchfield WWTP,-94.52042224,45.1400747,NA,NA,NA,NA,done,"45.141807693380834,",-94.52058314,
27065POTW03,Ogilvie WWTP,-93.41061732,45.83233088,-93.41474197,45.83176425,0.00412465,5.67E-04,done,45.83233088,-93.41061732,
27117POTW01,Holland WWTP,-96.18690699,44.08546362,-96.1869069,44.0854636,-9.00E-08,2.00E-08,don't check,,,
27121POTW01,Starbuck WWTP,-95.53548168,45.6105512,-95.53547332,45.61054331,-8.36E-06,7.89E-06,don't check,,,
27131POTW02,Faribault WWTP,-93.27186094,44.30621945,-93.2715192,44.3060492,-3.42E-04,1.70E-04,don't check,,,
27131POTW03,Lonsdale WWTP,-93.4168218,44.47539854,-93.4168564,44.4753984,3.46E-05,1.40E-07,don't check,,,
27109POTW02,Rochester WWTP/Water Reclamation Plant,-92.47113742,44.06171315,-92.4689632,44.0617573,-0.00217422,-4.41E-05,done,"44.06373307211196,",-92.46774709,
27095POTW01,Princeton WWTP,-93.5709,45.5513,-93.5832684,45.5710545,0.0123684,-0.0197545,done,45.5513,-93.5709,
27137POTW10,Hibbing WWTP South Plant,-92.90810236,47.37182692,-92.9016479,47.2829065,-0.00645446,0.08892042,done,"47.37296302005356,",-92.91571334,
27137POTW02,Hoyt Lakes WWTP,-92.15005484,47.50962318,-92.1500431,47.509615,-1.17E-05,8.18E-06,don't check,,,
27145POTW06,Sauk Centre WWTP,-94.94164499,45.72346386,-94.9416629,45.7234164,1.79E-05,4.75E-05,don't check,,,
27147POTW05,Hope - Somerset Township WWTP,-93.2684962,43.96980191,-93.2683427,43.969831,-1.53E-04,-2.91E-05,don't check,,,
27157POTW02,Wabasha WWTP,-92.01153092,44.3537642,-92.0115231,44.3537195,-7.82E-06,4.47E-05,don't check,,,
27169POTW04,Whitewater River Regional WWTP,-92.0570229,43.98311738,-92.0570074,43.9831391,-1.55E-05,-2.17E-05,don't check,,,
27171POTW01,Saint Michael WWTP,-93.65894282,45.19777019,-93.6590388,45.1983403,9.60E-05,-5.70E-04,don't check,,,
