source_id,source_name,lat,long,release_point_type,height,height_units,diameter,dimaeter_unit,exit_gas_flow_rate,exit_gas_flow_rate_unit,exit_gas_temperature,exit_gas_temperature_unit,sy,sz,utm_x,utm_y,GEOID10,COUNTYNAME,geometry
27001POTW04,Tamarack WWTP,46.6481819746843,-93.12525426,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,490415.14688808785,5166076.674032563,270017704002,Aitkin,"c(490415.146888088, 5166076.67403256)"
27005POTW01,Detroit Lakes WWTP,46.81147286,-95.86483229,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,281440.2036823843,5188199.626058561,270054506001,Becker,"c(281440.203682384, 5188199.62605856)"
27021POTW03,East Gull Lake WWTP,46.4130224074561,-94.34858343,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,396356.2178167158,5140822.354267843,270219608011,Cass,"c(396356.217816716, 5140822.35426784)"
27023POTW01,Montevideo WWTP,44.9397599,-95.7289978,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,284687.688240686,4979881.894275509,270239506001,Chippewa,"c(284687.688240686, 4979881.89427551)"
27025POTW2,Chisago Lakes Joint STC,45.40773137,-92.87411215,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,509851.26622499747,5028253.517835944,270251106001,Chisago,"c(509851.266224997, 5028253.51783594)"
27019POTW02,Cologne WWTP,44.7724236,-93.7927778,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,437270.1138937626,4957975.713821504,270190912022,Carver,"c(437270.113893763, 4957975.7138215)"
27001POTW03,Palisade WWTP,46.7108116447244,-93.49440536,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,462210.24993775244,5173147.153871003,270017702002,Aitkin,"c(462210.249937752, 5173147.153871)"
27021POTW05,Federal Dam WWTP,47.24615566,-94.20901068,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,408507.7880818074,5233227.933643402,270219601001,Cass,"c(408507.788081807, 5233227.9336434)"
27025POTW03,Harris WWTP,45.5812065,-92.9723707,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,502155.48361762683,5047518.74593197,270251102003,Chisago,"c(502155.483617627, 5047518.74593197)"
27013POTW01,Amboy WWTP,43.8880803,-94.1484626,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,407749.87345067237,4860083.279597456,270131715002,Blue Earth,"c(407749.873450672, 4860083.27959746)"
27019POTW06,Mayer WWTP,44.88478539,-93.91393956,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,427823.3503632765,4970557.893870385,270190902002,Carver,"c(427823.350363276, 4970557.89387039)"
27013POTW03,Mankato Water Resource Recovery Facility,44.1825772,-93.9996688,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,420098.5053865599,4892637.439316932,270131703001,Blue Earth,"c(420098.50538656, 4892637.43931693)"
27021POTW01,Pine River Area Sanitary District,46.7127499,-94.3961433,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,393290.4953894532,5174190.328008705,270219607001,Cass,"c(393290.495389453, 5174190.3280087)"
27029POTW01,Gonvick WWTP,47.7397399,-95.5078516,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,311992.24253680167,5290420.172324951,270290003002,Clearwater,"c(311992.242536802, 5290420.17232495)"
27013POTW06,Lake Crystal WWTP,44.1153656,-94.2151075,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,402768.565625461,4885404.129879977,270131710002,Blue Earth,"c(402768.565625461, 4885404.12987998)"
27019POTW04,Norwood Young America WWTP,44.7670768,-93.9186175,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,427306.1199567449,4957486.518299481,270190912011,Carver,"c(427306.119956745, 4957486.51829948)"
27031POTW01,Grand Marais WWTP,47.7519103,-90.3287952,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,700206.4437402983,5292182.542402406,270314802002,Cook,"c(700206.443740298, 5292182.54240241)"
27013POTW02,Saint Clair WWTP,44.0855755,-93.8625929,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,430941.7724558423,4881739.276823843,270131713001,Blue Earth,"c(430941.772455842, 4881739.27682384)"
27023POTW05,Clara City WWTP,44.9453057,-95.3706878,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,312975.6821223634,4979608.687380741,270239504001,Chippewa,"c(312975.682122363, 4979608.68738074)"
27025POTW01,North Branch WWTP,45.5210285,-92.9752369,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,501933.9414701144,5040833.012023951,270251103014,Chisago,"c(501933.941470114, 5040833.01202395)"
27015POTW02,Springfield WWTP,44.2400554,-94.9654047,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,343061.2817022869,4900414.123117545,270159606003,Brown,"c(343061.281702287, 4900414.12311754)"
27019POTW01,Watertown WWTP,44.9695782202252,-93.84101116,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,433680.382859504,4979914.937142153,270190901002,Carver,"c(433680.382859504, 4979914.93714215)"
27013POTW04,Vernon Center WWTP,43.95966372,-94.16437361,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,406583.9151465052,4868051.73564882,270131715001,Blue Earth,"c(406583.915146505, 4868051.73564882)"
27023POTW03,Granite Falls WWTP,44.80583311,-95.54010859,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,299125.04085996555,4964520.186824088,270239503001,Chippewa,"c(299125.040859966, 4964520.18682409)"
27007POTW01,Bemidji WWTP,47.46446625,-94.87602514,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,358616.9458655424,5258486.516691124,270074507023,Beltrami,"c(358616.945865542, 5258486.51669112)"
27001POTW01,Aitkin WWTP,46.5405439,-93.7127279,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,445351.78063921345,5154355.202871753,270017703002,Aitkin,"c(445351.780639213, 5154355.20287175)"
27015POTW01,Comfrey WWTP,44.1080252,-94.8911044,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,348656.84904671635,4885609.77218058,270159606001,Brown,"c(348656.849046716, 4885609.77218058)"
27023POTW06,Maynard WWTP,44.901766,-95.469252,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,305052.6197963089,4975004.1719520455,270239503001,Chippewa,"c(305052.619796309, 4975004.17195205)"
27079POTW03,Waterville WWTP,44.2179596,-93.5540185,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,455744.96864486823,4896230.813397699,270799504003,Le Sueur,"c(455744.968644868, 4896230.8133977)"
27083POTW01,Marshall WWTP,44.4720641,-95.7888572,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,278184.55249107775,4928089.566348607,270833605001,Lyon,"c(278184.552491078, 4928089.56634861)"
27093POTW02,Litchfield WWTP,45.1418076933808,-94.52058314,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,380450.82802675664,4999828.271147388,270935603003,Meeker,"c(380450.828026757, 4999828.27114739)"
27065POTW03,Ogilvie WWTP,45.83233088,-93.41061732,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,468109.05767749803,5075500.548109459,270654802002,Kanabec,"c(468109.057677498, 5075500.54810946)"
27117POTW01,Holland WWTP,44.0854636,-96.1869069,VERTICAL,25.93133651,FT,2.119230747,FT,64.03131081,FT3/SEC,126.0547383,FALSE,NA,NA,244855.24938335438,4886304.5573248565,271174601001,Pipestone,"c(244855.249383354, 4886304.55732486)"
